Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comprable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
2/24/2022,2872297,53.5%,1071110,53.9%,132500,46%,110400,42%,21868,69.3%,911720,100.5%
2/23/2022,2910983,54.3%,1217136,59.8%,140200,49%,119200,46%,23807,72.4%,892767,101.2%
2/22/2022,2685563,52.1%,1127887,58.1%,135400,47%,112800,43%,19233,61.9%,846877,98.8%
2/21/2022,1952595,61.0%,868310,63.7%,109900,38%,63900,24%,12500,76.5%,816227,103.3%
2/20/2022,1481340,65.1%,575664,56.9%,55000,59%,54900,68%,11017,54.9%,768971,96.7%
2/19/2022,1798449,61.5%,729347,57.9%,64700,57%,66500,69%,12171,69.3%,813140,97.8%
2/18/2022,2971201,53.6%,1280586,60.8%,129400,43%,112000,42%,21470,69.5%,947650,96.9%
2/17/2022,3116294,54.9%,1405314,63.6%,141200,49%,115700,44%,23713,72.0%,911310,99.5%
2/16/2022,3106845,55.7%,1404479,61.9%,140400,49%,115300,45%,23513,68.7%,875377,99.5%
2/15/2022,3037102,54.1%,1339103,60.0%,146600,51%,119000,46%,21922,66.7%,873240,101.4%
2/14/2022,2913587,54.0%,1271635,59.3%,142500,49%,113300,43%,20812,69.2%,862473,102.0%
2/13/2022,1351196,57.9%,510638,52.6%,50500,54%,46400,58%,10013,51.8%,655107,86.5%
2/12/2022,2028622,72.9%,820822,72.3%,71700,64%,71800,74%,13376,81.3%,867255,105.3%
2/11/2022,3021056,54.5%,1348221,64.0%,131000,44%,110700,41%,22608,73.1%,939270,96.1%
2/10/2022,3118851,54.9%,1423775,64.4%,143100,50%,115700,44%,23341,70.9%,905812,98.9%
2/9/2022,3095072,55.5%,1421706,62.7%,143700,50%,115300,45%,23863,69.7%,868057,98.7%
2/8/2022,3022902,53.9%,1387432,62.2%,141700,49%,119200,46%,22667,69.0%,851665,98.9%
2/7/2022,2789941,51.7%,1297024,60.5%,136500,47%,111300,42%,21120,70.2%,809094,95.7%
2/6/2022,1325280,58.8%,558211,56.2%,51500,55%,48400,60%,10621,54.1%,744779,97.3%
2/5/2022,1794615,60.3%,726750,56.5%,61200,54%,61500,64%,11377,62.8%,775134,93.3%
2/4/2022,2730797,49.4%,1176367,55.7%,117900,39%,94300,35%,18557,60.3%,781068,85.3%
2/3/2022,2919948,51.6%,1304726,59.6%,126900,44%,104100,40%,22325,69.5%,853193,96.4%
2/2/2022,2945982,51.9%,1314898,57.4%,140100,49%,111000,43%,22427,66.7%,846701,96.6%
2/1/2022,2640076,47.2%,1127084,49.8%,135300,47%,111400,43%,20357,62.8%,804390,93.9%
1/31/2022,2580730,47.9%,1139164,51.9%,132200,46%,109700,41%,18400,61.1%,777628,90.7%
1/30/2022,1263710,56.5%,460299,47.5%,47900,51%,45000,56%,5974,30.2%,506466,72.0%
