full_date,year,month,day,covid_cases,subway_ridership,percent_subway_ridership,mnr_ridership,percent_mnr_ridership,bridge_tunnel_usage,percent_bridge_tunnel_usage,citibike_usage,percent_citibike_usage
2022-01-31,2022,1,31,3122,2580730,47.9,109700,41.0,777628,90.7,569,151.733333333333
2022-01-30,2022,1,30,1425,1263710,56.5,45000,56.0,506466,72.0,295,64.410480349345
2022-01-29,2022,1,29,504,1000199,34.8,22000,23.0,174348,22.1,111,15.8571428571429
2022-01-28,2022,1,28,2712,2708397,50.1,96400,36.0,866261,92.9,894,114.176245210728
2022-01-27,2022,1,27,3561,2730250,48.4,95700,37.0,869615,100.8,1133,226.147704590818
2022-01-26,2022,1,26,4113,2717000,48.2,96300,37.0,833936,95.5,1149,246.038543897216
2022-01-25,2022,1,25,4743,2706871,48.5,98900,38.0,817021,95.6,1276,167.234600262123
2022-01-24,2022,1,24,5677,2542015,48.4,100500,38.0,791390,93.8,1026,235.862068965517
2022-01-23,2022,1,23,3291,1246961,53.5,43600,54.0,685007,89.6,940,108.796296296296
2022-01-22,2022,1,22,3516,1585292,60.9,53700,56.0,735629,98.8,892,132.935916542474
2022-01-21,2022,1,21,5665,2570529,48.1,91100,34.0,864079,93.1,800,408.163265306122
2022-01-20,2022,1,20,6858,2550517,46.8,88200,34.0,766608,86.1,830,326.771653543307
2022-01-19,2022,1,19,8895,2647727,48.8,96300,37.0,829778,95.7,1374,335.121951219512
2022-01-18,2022,1,18,10752,2546425,47.9,100400,39.0,815605,94.3,1042,147.592067988669
2022-01-17,2022,1,17,9545,1602238,50.2,44100,17.0,649397,81.5,730,88.3777239709443
2022-01-16,2022,1,16,6717,1166766,51.1,38000,47.0,621361,88.4,506,58.7006960556845
2022-01-15,2022,1,15,6636,1436125,55.4,45300,47.0,703293,109.3,670,73.1441048034934
2022-01-14,2022,1,14,13240,2527746,47.3,88600,33.0,866901,91.1,1091,140.0513478819
2022-01-13,2022,1,13,15780,2529329,45.8,87700,34.0,821641,90.8,1208,320.424403183024
2022-01-12,2022,1,12,18346,2464248,44.7,86000,33.0,784901,88.6,1057,239.140271493213
2022-01-11,2022,1,11,18042,2271033,41.9,81400,31.0,753381,87.5,683,95.7924263674614
2022-01-10,2022,1,10,24264,2352277,45.1,90200,34.0,762712,90.0,859,108.871989860583
2022-01-09,2022,1,9,14347,1103682,48.2,35300,44.0,567494,75.0,636,75.0885478158205
2022-01-08,2022,1,8,16115,1487737,49.5,46400,48.0,641533,77.3,713,80.4740406320542
2022-01-07,2022,1,7,23033,2125569,39.0,73100,27.0,559774,61.3,459,55.9756097560976
2022-01-06,2022,1,6,36109,2396085,43.8,82600,32.0,780026,87.9,1297,254.313725490196
2022-01-05,2022,1,5,39988,2272601,41.8,77600,30.0,709060,83.1,914,296.753246753247
2022-01-04,2022,1,4,48843,2294147,42.4,82000,32.0,733369,87.1,934,103.777777777778
2022-01-03,2022,1,3,54742,2172744,41.4,84000,32.0,692740,83.2,832,96.7441860465116
2022-01-02,2022,1,2,32386,1221306,53.7,42600,53.0,624655,88.8,1248,150.906892382104
2022-01-01,2022,1,1,12011,1029180,44.5,30300,31.0,498515,74.6,592,137.354988399072
2021-12-31,2021,12,31,29014,1629859,52.2,85200,32.0,628305,73.7,1468,205.602240896359
2021-12-30,2021,12,30,47051,2202359,50.9,90800,35.0,804654,98.5,1283,391.158536585366
2021-12-29,2021,12,29,50188,2171073,50.1,92600,36.0,768653,94.1,1091,308.19209039548
2021-12-28,2021,12,28,49254,2172791,50.2,89700,35.0,764364,93.5,1134,197.217391304348
2021-12-27,2021,12,27,51012,2011675,46.5,89400,34.0,744547,91.1,942,129.573590096286
2021-12-26,2021,12,26,22880,1286484,51.0,51500,64.0,673477,86.2,907,153.209459459459
2021-12-25,2021,12,25,7777,811945,46.6,31600,33.0,582582,76.1,398,171.551724137931
2021-12-24,2021,12,24,17427,1577738,43.2,81100,30.0,738612,81.6,873,141.26213592233
2021-12-23,2021,12,23,31746,2491489,52.5,97200,37.0,899513,97.2,1028,122.235434007134
2021-12-22,2021,12,22,31304,2640159,55.6,92900,36.0,878197,94.9,1157,237.090163934426
2021-12-21,2021,12,21,30331,2703097,57.0,97100,37.0,866595,93.6,1346,283.966244725738
2021-12-20,2021,12,20,27900,2722430,57.4,102700,39.0,856849,92.6,1249,174.685314685315
2021-12-19,2021,12,19,10540,1581503,59.3,56300,70.0,784051,93.5,1125,190.355329949239
2021-12-18,2021,12,18,9935,1882956,59.1,66100,69.0,832994,91.8,1097,144.342105263158
2021-12-17,2021,12,17,13532,3118492,55.1,121000,45.0,968689,97.6,2376,617.142857142857
2021-12-16,2021,12,16,13834,3226842,56.1,126100,48.0,948535,97.4,2276,239.075630252101
2021-12-15,2021,12,15,13166,3249076,54.7,129800,50.0,921048,97.6,2029,413.238289205703
2021-12-14,2021,12,14,10857,3281294,57.6,131800,51.0,894669,103.3,1982,352.669039145908
2021-12-13,2021,12,13,7520,3127619,54.6,129700,49.0,874293,96.4,1777,246.12188365651
2021-12-12,2021,12,12,2794,1831705,65.1,66500,83.0,828121,98.5,1658,182.398239823982
2021-12-11,2021,12,11,2160,2268556,65.7,81100,84.0,863814,98.0,1678,208.447204968944
2021-12-10,2021,12,10,3091,3423782,57.8,127700,48.0,962125,98.2,2073,239.930555555556
2021-12-09,2021,12,9,3023,3440822,56.5,126200,48.0,927903,94.8,1783,625.614035087719
2021-12-08,2021,12,8,3135,3385675,56.9,130200,50.0,889409,100.8,1765,306.423611111111
2021-12-07,2021,12,7,2917,3375157,56.9,131000,50.0,883027,97.1,1863,285.298621745789
2021-12-06,2021,12,6,2793,3142556,55.9,127300,48.0,865595,98.8,1916,171.530886302596
2021-12-05,2021,12,5,1405,1737545,65.0,60500,75.0,818544,99.1,1704,167.058823529412
2021-12-04,2021,12,4,1324,2318203,65.8,81400,84.0,864918,96.5,1962,204.58811261731
2021-12-03,2021,12,3,1900,3380539,56.7,119400,44.0,940827,96.2,2005,254.119138149556
2021-11-30,2021,11,30,2002,3214333,55.1,136600,53.0,897216,100.1,1759,318.083182640145
2021-11-29,2021,11,29,2340,3002707,57.0,132500,50.0,900399,117.9,1529,270.141342756184
2021-11-28,2021,11,28,1063,1467414,72.2,65100,81.0,825585,113.5,1118,302.162162162162
2021-11-27,2021,11,27,971,1882638,67.5,76100,79.0,850980,94.3,1004,85.5195911413969
2021-11-26,2021,11,26,1170,2092977,60.1,108700,40.0,789915,98.4,828,60.5263157894737
2021-11-25,2021,11,25,532,1359188,64.0,69900,27.0,861084,95.4,882,69.1764705882353
2021-11-24,2021,11,24,1418,3091878,58.5,139400,54.0,992568,100.5,1660,504.559270516717
2021-11-23,2021,11,23,1376,3293785,56.4,136600,53.0,989345,99.2,1645,213.636363636364
2021-11-22,2021,11,22,1529,3137259,54.8,127800,48.0,901942,99.6,1760,146.911519198664
2021-11-21,2021,11,21,840,1676033,74.3,66900,83.0,841901,111.5,1988,153.750966744006
2021-11-20,2021,11,20,826,2138098,67.0,82900,86.0,915131,102.0,2160,167.441860465116
2021-11-19,2021,11,19,1185,3323841,57.2,127100,47.0,987149,100.9,2182,177.687296416938
2021-11-18,2021,11,18,1303,3419760,57.0,132600,51.0,959226,99.9,2671,333.875
2021-11-17,2021,11,17,1327,3376522,56.9,131100,51.0,915266,98.6,2355,400.510204081633
2021-11-16,2021,11,16,1272,3348316,56.8,137200,53.0,902386,99.2,2213,308.647140864714
2021-11-15,2021,11,15,1262,3117761,55.5,132200,50.0,890524,100.9,1871,143.481595092025
2021-11-14,2021,11,14,685,1704908,70.0,62900,78.0,858311,104.6,1898,150.27711797308
2021-11-13,2021,11,13,615,2172149,67.1,74300,77.0,869112,96.2,2010,197.834645669291
2021-11-12,2021,11,12,1028,3164764,53.8,117700,44.0,919941,92.9,2043,232.687927107062
2021-11-11,2021,11,11,874,2927728,61.0,122900,47.0,895643,105.4,2584,191.833704528582
2021-11-10,2021,11,10,1045,3359437,57.6,134400,52.0,926005,100.9,2707,387.822349570201
2021-11-09,2021,11,9,1037,3287134,56.6,134100,52.0,898518,101.2,2667,378.835227272727
2021-11-08,2021,11,8,1134,3072454,52.8,131100,49.0,889544,96.8,2251,200.266903914591
2021-11-07,2021,11,7,543,1891963,65.7,72200,90.0,780686,100.5,2138,189.203539823009
2021-11-06,2021,11,6,507,2198274,67.9,80800,84.0,910587,99.6,2455,167.462482946794
2021-11-05,2021,11,5,769,3300207,56.3,121800,45.0,966007,98.5,2325,151.663405088063
2021-11-04,2021,11,4,907,3291525,54.6,126500,49.0,931012,97.5,2328,167.965367965368
2021-11-03,2021,11,3,826,3301103,54.8,131000,51.0,901230,96.3,2350,249.469214437367
2021-10-31,2021,10,31,446,1748679,69.5,66300,82.0,824978,96.1,2452,233.969465648855
2021-10-30,2021,10,30,399,2046487,61.1,69300,72.0,854656,92.3,2504,168.733153638814
2021-10-29,2021,10,29,641,3258376,54.7,122600,46.0,963442,97.2,2418,210.260869565217
2021-10-28,2021,10,28,737,3373576,58.4,132200,51.0,959835,108.3,3028,192.376111817027
2021-10-27,2021,10,27,758,3307634,54.9,129900,50.0,914494,98.8,2845,579.429735234216
2021-10-26,2021,10,26,597,2707913,45.3,104500,40.0,738636,80.9,1179,103.239929947461
2021-10-25,2021,10,25,895,3001962,52.1,125800,47.0,883887,96.7,2427,144.550327575938
2021-10-24,2021,10,24,443,1601835,72.7,68200,85.0,883371,113.7,2712,163.966142684401
2021-10-23,2021,10,23,450,2079731,62.3,82900,86.0,914737,96.1,2579,164.897698209719
2021-10-22,2021,10,22,693,3232113,54.7,126600,47.0,986548,98.0,3230,254.330708661417
2021-10-21,2021,10,21,808,3275195,53.5,127300,49.0,948652,96.3,3355,208.644278606965
2021-10-20,2021,10,20,800,3241475,53.5,131100,51.0,916246,96.9,3214,603.001876172608
